Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
LICNETFN50,EQ,241.66,0.57,747.59,0,0.01
762GS2039,GS,104.7,1.65,35657.36,0,0.01
SGBOCT25V,GB,7300,0,127.04,0,0.01
SGBSEP27,GB,7255,-0.55,455.54,0,0.01
726GS2033,GS,101.2,-0.87,159896,0.01,0.01
CREDITACC,ND,1012,-0.02,256.27,0,0
91D130624,TB,98.78,0.11,12367.26,0.01,0
NAVIFIN,N9,985,0.41,217.97,0,0
SHRIRAMFIN,ZH,1012,1.17,35.12,0,0
91D040724,TB,98.27,0,21128.05,0.01,0
QUAL30IETF,EQ,185.72,0.47,27.72,0,0
GATECHDVR,BE,3.35,-1.47,19.8,0.15,0
IIFL,NQ,956,0.05,54.7,0,0
WINSOME,BE,3.65,1.39,25.81,0.13,0
NEXTMEDIA,EQ,6.85,-0.72,45.82,0.07,0
BAFNAPH,BE,85.1,-1.96,201.32,0.01,0
IIFLSAMFIN,N5,984,0.41,155.19,0,0
QUINTEGRA,BE,2.1,5,5.63,0.22,0
ADROITPP,X1,4.1,3.8,13.33,0.11,0
GAYAPROJ,BZ,6.8,-4.9,127.3,0.06,0
IIFL,NP,1070,0,32.17,0,0
REGENCERAM,BE,35.1,0,92.81,0.01,0
SHRIRAMFIN,ZE,1005,0.5,16.38,0,0
NHPC,N5,1198.78,5.16,102.62,0,0
ABMINTLLTD,EQ,59,4.7,55.51,0.01,0
L&TFIN,NJ,1030,0,335.29,0,0
883GS2041,GS,119.35,0.08,107415,0,0
182D090524,TB,99.62,0.44,8965.8,0,0
91D160524,TB,99.5,0.15,8100.93,0,0
IIHFL,NE,1010,-1.94,5.58,0,0
364D080824,TB,97.92,1.26,8566.38,0,0
SHANTI,BE,15.5,1.31,17.21,0.02,0
ARTNIRMAN,BE,65.35,0,163.09,0.01,0
HYBRIDFIN,BE,8.8,-1.12,25.9,0.04,0
NIFMID150,EQ,183,0.73,3.33,0,0
574GS2026,GS,99.7,0.4,80757,0,0
EUROTEXIND,BE,14.7,-2,12.86,0.02,0
364D120924,TB,97.26,0.27,8229.82,0,0
182D260924,TB,96.99,0.83,14548.5,0,0
SAMBHAAV,BE,5.15,-1.9,98.42,0.06,0
SDL24BEES,EQ,120.25,0.04,1638.86,0,0
RADAAN,BE,1.55,-3.13,8.4,0.18,0
LOWVOL,EQ,178.68,0.77,9.17,0,0
757GS2033,GS,105,0.96,88200,0,0
CHOLAFIN,N2,1020,0,190.95,0,0
BBNPPGOLD,EQ,72.4,-0.62,68.63,0,0
NAVIFIN,NC,999,0.3,94.2,0,0
IBULHSGFIN,AR,970,-1.01,5.12,0,0
GSEC10IETF,EQ,226.95,-0.13,552.08,0,0
IREDA,N5,1142.11,-0.78,267.88,0,0
732GS2030,GS,103.3,0,60947,0,0
IMPEXFERRO,BE,3.6,-1.37,31.66,0.06,0
SHRIRAMFIN,ZK,1435.11,0.36,21.75,0,0
618GS2024,GS,102.25,0,63395,0,0
PEL,N0,1025.3,0,279.82,0,0
777MN38,SG,100.05,0,100.05,0,0
364D250424,TB,99.85,0,12282.04,0,0
91D230524,TB,99.4,0.1,11928,0,0
767KA36,SG,99.5,4.74,995,0,0
INDIGRID,NH,990,0,11.91,0,0
91D200624,TB,98.58,0,10619.04,0,0
TARAPUR,BE,9.85,1.55,19.21,0.02,0
182D060624,TB,98.76,0.14,8892.35,0,0
676GS2061,GS,98.1,3.81,139399.67,0,0
182D250724,TB,98,0.3,10314.5,0,0
ICDSLTD,BE,38.25,-1.92,49.83,0,0
182D181024,TB,95.64,-1.01,8343.39,0,0
364D300125,TB,94.7,1.21,8656.61,0,0
577GS2030,GS,93.25,0,110372.63,0,0
663TN35,SG,93,3.33,5580,0,0
NTL,BE,3.9,-4.88,22.05,0.05,0
IBULHSGFIN,YA,969,-0.02,9.92,0,0
IFCI,NL,1015.89,0.78,307.63,0,0
772GS2049,GS,105.36,-2.53,84288,0,0
WIPL,EQ,161.45,0,137.03,0,0
TECILCHEM,BE,23,0.44,43.62,0.01,0
SGBMAY26,GB,7205.14,-1.63,468.58,0,0
IBULHSG,NT,951,0,14.6,0,0
GSEC10YEAR,EQ,25.58,-0.62,80.99,0.01,0
ERFLNCDI,N6,920.1,0.01,44.49,0,0
VHLTD,BE,58.25,4.95,367.89,0,0
IBUCCREDIT,NB,855,3.64,10.6,0,0
IBULHSG,YQ,960,-1.03,5.36,0,0
GFSTEELS,BE,8.65,0,26.32,0.02,0
IBULHSGFIN,AX,999.99,0,4.35,0,0
UEL,BE,31.3,4.86,329.59,0,0
NAVIFIN,N7,995,-0.5,67.16,0,0
IBULHSG,Y1,999,4.61,10.32,0,0
IIFL,NO,975.2,-1.79,44.5,0,0
SHRIRAMFIN,Z9,1085,2.46,28.42,0,0
INFOMEDIA,BE,5.95,-4.8,29.87,0.02,0
IBUCCREDIT,NJ,1070,0,7.69,0,0
DHANILOANS,NZ,1065,6.54,39.1,0,0
NIF10GETF,EQ,22.97,0.48,0.56,0,0
718GS2033,GS,101.3,-0.05,203613,0,0
817GS2044,GS,115.01,-4.16,98908.6,0,0
SHRIRAMFIN,Z5,1018,-0.27,21.41,0,0
NKIND,BE,52.5,0.1,31.55,0,0
771WB43,SG,100,0,2500,0,0
CHOLAFIN,NC,993.02,-1.68,172.21,0,0
91D300524,TB,99.09,0.14,11395.35,0,0
779PN36,SG,99,0,990,0,0
758GJ32,SG,99,0,990,0,0
737GR2054,GS,99,1.18,9900,0,0
522GS2025,GS,98.98,0,116796.4,0,0
FELDVR,BE,5.1,3.03,20.08,0.02,0
91D270624,TB,98.5,0,10367.13,0,0
182D200624,TB,98.41,0,8660.08,0,0
91D120724,TB,98.15,0.04,32301.17,0,0
364D050924,TB,97.39,1.16,7451.38,0,0
IBULHSG,YO,960,0,9.81,0,0
IBULHSGFIN,ZW,954.8,-0.01,7.35,0,0
IBULHSG,YG,979,4.15,9.92,0,0
364D020125,TB,95.2,1.06,8721.69,0,0
364D060225,TB,93.45,0,8961.46,0,0
SETUINFRA,BZ,0.75,-6.25,9.43,0.12,0
364D060325,TB,93,0.15,8530.13,0,0
IBULHSGFIN,ZY,925,0,10.16,0,0
622GS2035,GS,91.65,-0.92,93826.99,0,0
77MH33A,SG,90.26,-4.99,3610.4,0,0
GTECJAINX,BE,85.45,0,87.07,0,0
IBULHSGFIN,NO,1220,-0.78,11.01,0,0
ORTEL,BZ,1.3,-3.7,4.29,0.06,0
IMC1,N2,249,-1.9,60.76,0,0
IIFL,N6,950.6,-3.49,29.48,0,0
AARTISURF,P1,248.5,-3.96,26.9,0,0
SGBJUN27,GB,7447,-0.55,342.4,0,0
SGBOCT26,GB,7299,-1.11,228.14,0,0
DHANILOANS,NV,1008.73,2.1,11.49,0,0
IRFC,N4,1095.8,-0.81,2803.83,0,0
RECLTD,NG,1290,0.31,109.69,0,0
GANGOTRI,BZ,1.35,3.85,4.4,0.05,0
NAVIFIN,N3,1000,0,37.63,0,0
IBULHSGFIN,NE,980,-0.51,191.44,0,0
IIFL,NG,1167.75,0,79.58,0,0
SABTNL,BE,84.9,4.94,3.17,0,0
LICNETFSEN,EQ,807.79,1.48,754.65,0,0
699GS2051,GS,101.47,2.49,148678.92,0,0
GLFL,BE,9.25,-1.6,25.09,0,0
IBULHSGFIN,N0,925,0.54,16.88,0,0
IRFC,NK,1227,1.38,453.54,0,0
RECLTD,N6,1149,0,1882.96,0,0
RECLTD,NI,1136,0.26,0,0,0
L&TFIN,N5,1050.3,-3.2,116.49,0,0
585GS2030,GS,95,1.2,139421.06,0,0
HEALTHADD,EQ,117.7,1.04,8.06,0,0
IRFC,NA,1155,0.43,795.05,0,0
L&TFIN,NF,1024,-0.1,360.44,0,0
IBULHSG,N9,1000,0,7.11,0,0
IBUCCREDIT,NO,941,-0.42,10.31,0,0
IIHFL,NC,922,0.66,49.54,0,0
IMC1,N1,254,-0.03,61.98,0,0
IMC1,N3,249,-5.68,60.76,0,0
TIMESGTY,BE,93.2,0,83.82,0,0
669GS2024,GS,101.41,-0.02,56789.6,0,0
IMC1,N0,257.5,1.03,62.83,0,0
723GS2039,GS,100.5,0,10050,0,0
74GS2062,GS,103.25,0,161070,0,0
515GS2025,GS,98.43,0,143166.11,0,0
MELSTAR,BZ,4.8,-2.04,6.86,0,0
